N,R,P,CI
500,152,80,99
500,147,80,90
500,147,80,95
500,147,80,99
500,157,80,90
500,157,80,95
500,157,80,99
500,156,80,90
500,156,80,95
500,156,80,99
500,153,80,90
500,153,80,95
500,153,80,99
500,124,80,90
500,124,80,95
500,124,80,99
500,159,80,90
500,159,80,95
500,159,80,99
500,160,80,90
500,160,80,95
500,160,80,99
500,163,80,90
500,163,80,95
500,163,80,99
500,164,80,90
500,164,80,95
500,164,80,99
500,167,80,90
500,167,80,95
500,167,80,99
500,172,80,90
500,172,80,95
500,172,80,99
500,437,20,90
500,437,20,95
500,437,20,99
500,434,20,90
500,434,20,95
500,434,20,99
500,433,20,90
500,433,20,95
500,433,20,99
500,440,20,90
500,440,20,95
500,440,20,99
500,442,20,90
500,442,20,95
500,442,20,99
500,436,20,90
500,436,20,95
500,436,20,99
500,439,20,90
500,439,20,95
500,439,20,99
500,438,20,90
500,438,20,95
500,438,20,99
500,443,20,90
500,443,20,95
500,443,20,99
500,441,20,90
500,441,20,95
500,441,20,99
500,311,50,90
500,311,50,95
500,311,50,99
500,306,50,90
500,306,50,95
500,306,50,99
500,305,50,90
500,305,50,95
500,305,50,99
500,309,50,90
500,309,50,95
500,309,50,99
500,310,50,90
500,310,50,95
500,310,50,99
500,323,50,90
500,323,50,95
500,323,50,99
500,315,50,90
500,315,50,95
500,315,50,99
500,312,50,90
500,312,50,95
500,312,50,99
500,321,50,90
500,321,50,95
500,321,50,99
500,320,50,90
500,320,50,95
500,320,50,99
500,316,50,90
500,316,50,95
500,316,50,99
500,327,50,90
500,327,50,95
500,327,50,99
500,314,50,90
500,314,50,95
500,314,50,99
500,324,50,90
500,324,50,95
500,324,50,99
500,319,50,90
500,319,50,95
500,319,50,99
500,318,50,90
500,318,50,95
500,318,50,99
500,317,50,90
500,317,50,95
500,317,50,99
500,326,50,90
500,326,50,95
500,326,50,99
500,322,50,90
500,322,50,95
500,322,50,99
500,325,50,90
500,325,50,95
500,325,50,99
500,333,50,90
500,333,50,95
500,333,50,99
500,189,80,90
500,189,80,95
500,189,80,99
500,176,80,90
500,176,80,95
500,176,80,99
500,192,80,90
500,192,80,95
500,192,80,99
500,165,80,90
500,165,80,95
500,165,80,99
500,197,80,90
500,197,80,95
500,197,80,99
500,178,80,90
500,178,80,95
500,178,80,99
500,182,80,90
500,182,80,95
500,182,80,99
500,173,80,90
500,173,80,95
500,173,80,99
500,188,80,90
500,188,80,95
500,188,80,99
500,181,80,90
500,181,80,95
500,181,80,99
500,186,80,90
500,186,80,95
500,186,80,99
500,168,80,90
500,168,80,95
500,168,80,99
500,183,80,90
500,183,80,95
500,183,80,99
500,187,80,90
500,187,80,95
500,187,80,99
500,184,80,90
500,184,80,95
500,184,80,99
500,180,80,90
500,180,80,95
500,180,80,99
500,171,80,90
500,171,80,95
500,171,80,99
500,179,80,90
500,179,80,95
500,179,80,99
500,200,80,90
500,200,80,95
500,200,80,99
500,169,80,90
500,169,80,95
500,169,80,99
500,175,80,90
500,175,80,95
500,175,80,99
500,177,80,90
500,177,80,95
500,177,80,99
500,194,80,90
500,194,80,95
500,194,80,99
500,174,80,90
500,174,80,95
500,174,80,99
500,185,80,90
500,185,80,95
500,185,80,99
500,195,80,90
500,195,80,95
500,195,80,99
500,166,80,90
500,166,80,95
500,166,80,99
500,198,80,90
500,198,80,95
500,198,80,99
500,162,80,90
500,162,80,95
500,162,80,99
500,196,80,90
500,196,80,95
500,196,80,99
500,191,80,90
500,191,80,95
500,191,80,99
500,193,80,90
500,193,80,95
500,193,80,99
500,170,80,90
500,170,80,95
500,170,80,99
500,199,80,90
500,199,80,95
500,199,80,99
500,190,80,90
500,190,80,95
500,190,80,99
500,202,80,90
500,202,80,95
500,202,80,99
500,205,80,90
500,205,80,95
500,205,80,99
500,201,80,90
500,201,80,95
500,201,80,99
500,444,20,90
500,444,20,95
500,444,20,99
500,445,20,90
500,445,20,95
500,445,20,99
500,448,20,90
500,448,20,95
500,448,20,99
500,446,20,90
500,446,20,95
500,446,20,99
500,447,20,90
500,447,20,95
500,447,20,99
500,449,20,90
500,449,20,95
500,449,20,99
500,332,50,90
500,332,50,95
500,332,50,99
500,334,50,90
500,334,50,95
500,334,50,99
500,329,50,90
500,329,50,95
500,329,50,99
500,330,50,90
500,330,50,95
500,330,50,99
500,328,50,90
500,328,50,95
500,328,50,99
500,331,50,90
500,331,50,95
500,331,50,99
500,336,50,90
500,336,50,95
500,336,50,99
500,344,50,90
500,344,50,95
500,344,50,99
500,341,50,90
500,341,50,95
500,341,50,99
500,340,50,90
500,340,50,95
500,340,50,99
500,337,50,90
500,337,50,95
500,337,50,99
500,342,50,90
500,342,50,95
500,342,50,99
500,338,50,90
500,338,50,95
500,338,50,99
500,339,50,90
500,339,50,95
500,339,50,99
500,335,50,90
500,335,50,95
500,335,50,99
500,345,50,90
500,345,50,95
500,345,50,99
500,347,50,90
500,347,50,95
500,347,50,99
500,352,50,90
500,352,50,95
500,352,50,99
500,343,50,90
500,343,50,95
500,343,50,99
500,348,50,90
500,348,50,95
500,348,50,99
500,350,50,90
500,350,50,95
500,350,50,99
500,346,50,90
500,346,50,95
500,346,50,99
500,359,50,90
500,359,50,95
500,359,50,99
500,349,50,90
500,349,50,95
500,349,50,99
500,360,50,90
500,360,50,95
500,360,50,99
500,355,50,90
500,355,50,95
500,355,50,99
500,220,80,90
500,220,80,95
500,220,80,99
500,222,80,90
500,222,80,95
500,222,80,99
500,227,80,90
500,227,80,95
500,227,80,99
500,239,80,90
500,239,80,95
500,239,80,99
500,217,80,90
500,217,80,95
500,217,80,99
500,216,80,90
500,216,80,95
500,216,80,99
500,230,80,90
500,230,80,95
500,230,80,99
500,223,80,90
500,223,80,95
500,223,80,99
500,218,80,90
500,218,80,95
500,218,80,99
500,226,80,90
500,226,80,95
500,226,80,99
500,219,80,90
500,219,80,95
500,219,80,99
500,212,80,90
500,212,80,95
500,212,80,99
500,209,80,90
500,209,80,95
500,209,80,99
500,221,80,90
500,221,80,95
500,221,80,99
500,206,80,90
500,206,80,95
500,206,80,99
500,213,80,90
500,213,80,95
500,213,80,99
500,225,80,90
500,225,80,95
500,225,80,99
500,214,80,90
500,214,80,95
500,214,80,99
500,215,80,90
500,215,80,95
500,215,80,99
500,232,80,90
500,232,80,95
500,232,80,99
500,224,80,90
500,224,80,95
500,224,80,99
500,208,80,90
500,208,80,95
500,208,80,99
500,238,80,90
500,238,80,95
500,238,80,99
500,228,80,90
500,228,80,95
500,228,80,99
500,204,80,90
500,204,80,95
500,204,80,99
500,235,80,90
500,235,80,95
500,235,80,99
500,233,80,90
500,233,80,95
500,233,80,99
500,236,80,90
500,236,80,95
500,236,80,99
500,237,80,90
500,237,80,95
500,237,80,99
500,231,80,90
500,231,80,95
500,231,80,99
500,211,80,90
500,211,80,95
500,211,80,99
500,210,80,90
500,210,80,95
500,210,80,99
500,229,80,90
500,229,80,95
500,229,80,99
500,240,80,90
500,240,80,95
500,240,80,99
500,245,80,90
500,245,80,95
500,245,80,99
500,207,80,90
500,207,80,95
500,207,80,99
500,234,80,90
500,234,80,95
500,234,80,99
500,203,80,90
500,203,80,95
500,203,80,99
500,241,80,90
500,241,80,95
500,241,80,99
500,452,20,90
500,452,20,95
500,452,20,99
500,455,20,90
500,455,20,95
500,455,20,99
500,451,20,90
500,451,20,95
500,451,20,99
500,450,20,90
500,450,20,95
500,450,20,99
500,456,20,90
500,456,20,95
500,456,20,99
500,453,20,90
500,453,20,95
500,453,20,99
500,454,20,90
500,454,20,95
500,454,20,99
500,458,20,90
500,458,20,95
500,458,20,99
500,354,50,90
500,354,50,95
500,354,50,99
500,367,50,90
500,367,50,95
500,367,50,99
500,358,50,90
500,358,50,95
500,358,50,99
500,363,50,90
500,363,50,95
500,363,50,99
500,351,50,90
500,351,50,95
500,351,50,99
500,356,50,90
500,356,50,95
500,356,50,99
500,357,50,90
500,357,50,95
500,357,50,99
500,353,50,90
500,353,50,95
500,353,50,99
500,371,50,90
500,371,50,95
500,371,50,99
500,361,50,90
500,361,50,95
500,361,50,99
500,362,50,90
500,362,50,95
500,362,50,99
500,370,50,90
500,370,50,95
500,370,50,99
500,369,50,90
500,369,50,95
500,369,50,99
500,364,50,90
500,364,50,95
500,364,50,99
500,368,50,90
500,368,50,95
500,368,50,99
500,372,50,90
500,372,50,95
500,372,50,99
500,365,50,90
500,365,50,95
500,365,50,99
500,366,50,90
500,366,50,95
500,366,50,99
500,374,50,90
500,374,50,95
500,374,50,99
500,373,50,90
500,373,50,95
500,373,50,99
500,263,80,90
500,263,80,95
500,263,80,99
500,268,80,90
500,268,80,95
500,268,80,99
500,270,80,90
500,270,80,95
500,270,80,99
500,265,80,90
500,265,80,95
500,265,80,99
500,261,80,90
500,261,80,95
500,261,80,99
500,251,80,90
500,251,80,95
500,251,80,99
500,260,80,90
500,260,80,95
500,260,80,99
500,255,80,90
500,255,80,95
500,255,80,99
500,247,80,90
500,247,80,95
500,247,80,99
500,252,80,90
500,252,80,95
500,252,80,99
500,267,80,90
500,267,80,95
500,267,80,99
500,259,80,90
500,259,80,95
500,259,80,99
500,256,80,90
500,256,80,95
500,256,80,99
500,271,80,90
500,271,80,95
500,271,80,99
500,249,80,90
500,249,80,95
500,249,80,99
500,266,80,90
500,266,80,95
500,266,80,99
500,253,80,90
500,253,80,95
500,253,80,99
500,264,80,90
500,264,80,95
500,264,80,99
500,258,80,90
500,258,80,95
500,258,80,99
500,254,80,90
500,254,80,95
500,254,80,99
500,257,80,90
500,257,80,95
500,257,80,99
500,262,80,90
500,262,80,95
500,262,80,99
500,273,80,90
500,273,80,95
500,273,80,99
500,269,80,90
500,269,80,95
500,269,80,99
500,272,80,90
500,272,80,95
500,272,80,99
500,250,80,90
500,250,80,95
500,250,80,99
500,244,80,90
500,244,80,95
500,244,80,99
500,248,80,90
500,248,80,95
500,248,80,99
500,246,80,90
500,246,80,95
500,246,80,99
500,276,80,90
500,276,80,95
500,276,80,99
500,275,80,90
500,275,80,95
500,275,80,99
500,274,80,90
500,274,80,95
500,274,80,99
500,243,80,90
500,243,80,95
500,243,80,99
500,279,80,90
500,279,80,95
500,279,80,99
500,281,80,90
500,281,80,95
500,281,80,99
500,242,80,90
500,242,80,95
500,242,80,99
500,278,80,90
500,278,80,95
500,278,80,99
500,283,80,90
500,283,80,95
500,283,80,99
500,277,80,90
500,277,80,95
500,277,80,99
500,459,20,90
500,459,20,95
500,459,20,99
500,460,20,90
500,460,20,95
500,460,20,99
500,463,20,90
500,463,20,95
500,463,20,99
500,462,20,90
500,462,20,95
500,462,20,99
500,466,20,90
500,466,20,95
500,466,20,99
500,461,20,90
500,461,20,95
500,461,20,99
500,457,20,90
500,457,20,95
500,457,20,99
500,465,20,90
500,465,20,95
500,465,20,99
500,464,20,90
500,464,20,95
500,464,20,99
500,472,20,90
500,472,20,95
500,472,20,99
500,467,20,90
500,467,20,95
500,467,20,99
500,468,20,90
500,468,20,95
500,468,20,99
500,378,50,90
500,378,50,95
500,378,50,99
500,375,50,90
500,375,50,95
500,375,50,99
500,381,50,90
500,381,50,95
500,381,50,99
500,380,50,90
500,380,50,95
500,380,50,99
500,379,50,90
500,379,50,95
500,379,50,99
500,384,50,90
500,384,50,95
500,384,50,99
500,376,50,90
500,376,50,95
500,376,50,99
500,377,50,90
500,377,50,95
500,377,50,99
500,382,50,90
500,382,50,95
500,382,50,99
500,385,50,90
500,385,50,95
500,385,50,99
500,388,50,90
500,388,50,95
500,388,50,99
500,386,50,90
500,386,50,95
500,386,50,99
500,383,50,90
500,383,50,95
500,383,50,99
500,389,50,90
500,389,50,95
500,389,50,99
500,387,50,90
500,387,50,95
500,387,50,99
500,392,50,90
500,392,50,95
500,392,50,99
500,390,50,90
500,390,50,95
500,390,50,99
500,398,50,90
500,398,50,95
500,398,50,99
500,391,50,90
500,391,50,95
500,391,50,99
500,396,50,90
500,396,50,95
500,396,50,99
500,393,50,90
500,393,50,95
500,393,50,99
500,394,50,90
500,394,50,95
500,394,50,99
500,395,50,90
500,395,50,95
500,395,50,99
500,310,80,90
500,310,80,95
500,310,80,99
500,301,80,90
500,301,80,95
500,301,80,99
500,294,80,90
500,294,80,95
500,294,80,99
500,306,80,90
500,306,80,95
500,306,80,99
500,298,80,90
500,298,80,95
500,298,80,99
500,308,80,90
500,308,80,95
500,308,80,99
500,313,80,90
500,313,80,95
500,313,80,99
500,291,80,90
500,291,80,95
500,291,80,99
500,300,80,90
500,300,80,95
500,300,80,99
500,305,80,90
500,305,80,95
500,305,80,99
500,299,80,90
500,299,80,95
500,299,80,99
500,316,80,90
500,316,80,95
500,316,80,99
500,304,80,90
500,304,80,95
500,304,80,99
500,290,80,90
500,290,80,95
500,290,80,99
500,295,80,90
500,295,80,95
500,295,80,99
500,302,80,90
500,302,80,95
500,302,80,99
500,293,80,90
500,293,80,95
500,293,80,99
500,311,80,90
500,311,80,95
500,311,80,99
500,285,80,90
500,285,80,95
500,285,80,99
500,292,80,90
500,292,80,95
500,292,80,99
500,297,80,90
500,297,80,95
500,297,80,99
500,307,80,90
500,307,80,95
500,307,80,99
500,288,80,90
500,288,80,95
500,288,80,99
500,286,80,90
500,286,80,95
500,286,80,99
500,303,80,90
500,303,80,95
500,303,80,99
500,296,80,90
500,296,80,95
500,296,80,99
500,309,80,90
500,309,80,95
500,309,80,99
500,312,80,90
500,312,80,95
500,312,80,99
500,319,80,90
500,319,80,95
500,319,80,99
500,287,80,90
500,287,80,95
500,287,80,99
500,314,80,90
500,314,80,95
500,314,80,99
500,289,80,90
500,289,80,95
500,289,80,99
500,315,80,90
500,315,80,95
500,315,80,99
500,318,80,90
500,318,80,95
500,318,80,99
500,317,80,90
500,317,80,95
500,317,80,99
500,284,80,90
500,284,80,95
500,284,80,99
500,323,80,90
500,323,80,95
500,323,80,99
500,470,20,90
500,470,20,95
500,470,20,99
500,469,20,90
500,469,20,95
500,469,20,99
500,471,20,90
500,471,20,95
500,471,20,99
500,473,20,90
500,473,20,95
500,473,20,99
500,475,20,90
500,475,20,95
500,475,20,99
500,474,20,90
500,474,20,95
500,474,20,99
500,476,20,90
500,476,20,95
500,476,20,99
500,409,50,90
500,409,50,95
500,409,50,99
500,406,50,90
500,406,50,95
500,406,50,99
500,407,50,90
500,407,50,95
500,407,50,99
500,402,50,90
500,402,50,95
500,402,50,99
500,412,50,90
500,412,50,95
500,412,50,99
500,410,50,90
500,410,50,95
500,410,50,99
500,408,50,90
500,408,50,95
500,408,50,99
500,397,50,90
500,397,50,95
500,397,50,99
500,399,50,90
500,399,50,95
500,399,50,99
500,404,50,90
500,404,50,95
500,404,50,99
500,411,50,90
500,411,50,95
500,411,50,99
500,417,50,90
500,417,50,95
500,417,50,99
500,405,50,90
500,405,50,95
500,405,50,99
500,403,50,90
500,403,50,95
500,403,50,99
500,400,50,90
500,400,50,95
500,400,50,99
500,401,50,90
500,401,50,95
500,401,50,99
500,414,50,90
500,414,50,95
500,414,50,99
500,418,50,90
500,418,50,95
500,418,50,99
500,413,50,90
500,413,50,95
500,413,50,99
500,415,50,90
500,415,50,95
500,415,50,99
500,416,50,90
500,416,50,95
500,416,50,99
500,423,50,90
500,423,50,95
500,423,50,99
500,339,80,90
500,339,80,95
500,339,80,99
500,335,80,90
500,335,80,95
500,335,80,99
500,338,80,90
500,338,80,95
500,338,80,99
500,330,80,90
500,330,80,95
500,330,80,99
500,337,80,90
500,337,80,95
500,337,80,99
500,354,80,90
500,354,80,95
500,354,80,99
500,341,80,90
500,341,80,95
500,341,80,99
500,342,80,90
500,342,80,95
500,342,80,99
500,340,80,90
500,340,80,95
500,340,80,99
500,344,80,90
500,344,80,95
500,344,80,99
500,343,80,90
500,343,80,95
500,343,80,99
500,353,80,90
500,353,80,95
500,353,80,99
500,332,80,90
500,332,80,95
500,332,80,99
500,348,80,90
500,348,80,95
500,348,80,99
500,336,80,90
500,336,80,95
500,336,80,99
500,346,80,90
500,346,80,95
500,346,80,99
500,360,80,90
500,360,80,95
500,360,80,99
500,352,80,90
500,352,80,95
500,352,80,99
500,345,80,90
500,345,80,95
500,345,80,99
500,334,80,90
500,334,80,95
500,334,80,99
500,333,80,90
500,333,80,95
500,333,80,99
500,347,80,90
500,347,80,95
500,347,80,99
500,328,80,90
500,328,80,95
500,328,80,99
500,349,80,90
500,349,80,95
500,349,80,99
500,326,80,90
500,326,80,95
500,326,80,99
500,350,80,90
500,350,80,95
500,350,80,99
500,329,80,90
500,329,80,95
500,329,80,99
500,351,80,90
500,351,80,95
500,351,80,99
500,365,80,90
500,365,80,95
500,365,80,99
500,324,80,90
500,324,80,95
500,324,80,99
500,331,80,90
500,331,80,95
500,331,80,99
500,321,80,90
500,321,80,95
500,321,80,99
500,327,80,90
500,327,80,95
500,327,80,99
500,325,80,90
500,325,80,95
500,325,80,99
500,355,80,90
500,355,80,95
500,355,80,99
500,356,80,90
500,356,80,95
500,356,80,99
500,358,80,90
500,358,80,95
500,358,80,99
500,322,80,90
500,322,80,95
500,322,80,99
500,357,80,90
500,357,80,95
500,357,80,99
500,477,20,90
500,477,20,95
500,477,20,99
500,478,20,90
500,478,20,95
500,478,20,99
500,479,20,90
500,479,20,95
500,479,20,99
500,480,20,90
500,480,20,95
500,480,20,99
500,486,20,90
500,486,20,95
500,486,20,99
500,482,20,90
500,482,20,95
500,482,20,99
500,481,20,90
500,481,20,95
500,481,20,99
500,484,20,90
500,484,20,95
500,484,20,99
500,432,50,90
500,432,50,95
500,432,50,99
500,431,50,90
500,431,50,95
500,431,50,99
500,424,50,90
500,424,50,95
500,424,50,99
500,429,50,90
500,429,50,95
500,429,50,99
500,421,50,90
500,421,50,95
500,421,50,99
500,420,50,90
500,420,50,95
500,420,50,99
500,427,50,90
500,427,50,95
500,427,50,99
500,428,50,90
500,428,50,95
500,428,50,99
500,422,50,90
500,422,50,95
500,422,50,99
500,419,50,90
500,419,50,95
500,419,50,99
500,425,50,90
500,425,50,95
500,425,50,99
500,434,50,90
500,434,50,95
500,434,50,99
500,430,50,90
500,430,50,95
500,430,50,99
500,426,50,90
500,426,50,95
500,426,50,99
500,433,50,90
500,433,50,95
500,433,50,99
500,438,50,90
500,438,50,95
500,438,50,99
500,447,50,90
500,447,50,95
500,447,50,99
500,436,50,90
500,436,50,95
500,436,50,99
500,435,50,90
500,435,50,95
500,435,50,99
500,439,50,90
500,439,50,95
500,439,50,99
500,441,50,90
500,441,50,95
500,441,50,99
500,437,50,90
500,437,50,95
500,437,50,99
500,440,50,90
500,440,50,95
500,440,50,99
500,445,50,90
500,445,50,95
500,445,50,99
500,442,50,90
500,442,50,95
500,442,50,99
500,446,50,90
500,446,50,95
500,446,50,99
500,371,80,90
500,371,80,95
500,371,80,99
500,367,80,90
500,367,80,95
500,367,80,99
500,382,80,90
500,382,80,95
500,382,80,99
500,378,80,90
500,378,80,95
500,378,80,99
500,373,80,90
500,373,80,95
500,373,80,99
500,376,80,90
500,376,80,95
500,376,80,99
500,380,80,90
500,380,80,95
500,380,80,99
500,389,80,90
500,389,80,95
500,389,80,99
500,377,80,90
500,377,80,95
500,377,80,99
500,383,80,90
500,383,80,95
500,383,80,99
500,375,80,90
500,375,80,95
500,375,80,99
500,388,80,90
500,388,80,95
500,388,80,99
500,379,80,90
500,379,80,95
500,379,80,99
500,387,80,90
500,387,80,95
500,387,80,99
500,385,80,90
500,385,80,95
500,385,80,99
500,369,80,90
500,369,80,95
500,369,80,99
500,381,80,90
500,381,80,95
500,381,80,99
500,386,80,90
500,386,80,95
500,386,80,99
500,384,80,90
500,384,80,95
500,384,80,99
500,372,80,90
500,372,80,95
500,372,80,99
500,390,80,90
500,390,80,95
500,390,80,99
500,374,80,90
500,374,80,95
500,374,80,99
500,370,80,90
500,370,80,95
500,370,80,99
500,392,80,90
500,392,80,95
500,392,80,99
500,394,80,90
500,394,80,95
500,394,80,99
500,391,80,90
500,391,80,95
500,391,80,99
500,393,80,90
500,393,80,95
500,393,80,99
500,368,80,90
500,368,80,95
500,368,80,99
500,366,80,90
500,366,80,95
500,366,80,99
500,395,80,90
500,395,80,95
500,395,80,99
500,483,20,90
500,483,20,95
500,483,20,99
500,485,20,90
500,485,20,95
500,485,20,99
500,487,20,90
500,487,20,95
500,487,20,99
500,488,20,90
500,488,20,95
500,488,20,99
500,489,20,90
500,489,20,95
500,489,20,99
500,490,20,90
500,490,20,95
500,490,20,99
500,491,20,90
500,491,20,95
500,491,20,99
500,444,50,90
500,444,50,95
500,444,50,99
500,458,50,90
500,458,50,95
500,458,50,99
500,453,50,90
500,453,50,95
500,453,50,99
500,450,50,90
500,450,50,95
500,450,50,99
500,452,50,90
500,452,50,95
500,452,50,99
500,449,50,90
500,449,50,95
500,449,50,99
500,451,50,90
500,451,50,95
500,451,50,99
500,456,50,90
500,456,50,95
500,456,50,99
500,455,50,90
500,455,50,95
500,455,50,99
500,459,50,90
500,459,50,95
500,459,50,99
500,454,50,90
500,454,50,95
500,454,50,99
500,462,50,90
500,462,50,95
500,462,50,99
500,448,50,90
500,448,50,95
500,448,50,99
500,463,50,90
500,463,50,95
500,463,50,99
500,457,50,90
500,457,50,95
500,457,50,99
500,443,50,90
500,443,50,95
500,443,50,99
500,460,50,90
500,460,50,95
500,460,50,99
500,461,50,90
500,461,50,95
500,461,50,99
500,465,50,90
500,465,50,95
500,465,50,99
500,464,50,90
500,464,50,95
500,464,50,99
500,466,50,90
500,466,50,95
500,466,50,99
500,423,80,90
500,423,80,95
500,423,80,99
500,420,80,90
500,420,80,95
500,420,80,99
500,415,80,90
500,415,80,95
500,415,80,99
500,421,80,90
500,421,80,95
500,421,80,99
500,417,80,90
500,417,80,95
500,417,80,99
500,422,80,90
500,422,80,95
500,422,80,99
500,418,80,90
500,418,80,95
500,418,80,99
500,419,80,90
500,419,80,95
500,419,80,99
500,414,80,90
500,414,80,95
500,414,80,99
500,427,80,90
500,427,80,95
500,427,80,99
500,431,80,90
500,431,80,95
500,431,80,99
500,416,80,90
500,416,80,95
500,416,80,99
500,425,80,90
500,425,80,95
500,425,80,99
500,413,80,90
500,413,80,95
500,413,80,99
500,424,80,90
500,424,80,95
500,424,80,99
500,426,80,90
500,426,80,95
500,426,80,99
500,429,80,90
500,429,80,95
500,429,80,99
500,411,80,90
500,411,80,95
500,411,80,99
500,412,80,90
500,412,80,95
500,412,80,99
500,432,80,90
500,432,80,95
500,432,80,99
500,428,80,90
500,428,80,95
500,428,80,99
500,430,80,90
500,430,80,95
500,430,80,99
500,409,80,90
500,409,80,95
500,409,80,99
500,492,20,90
500,492,20,95
500,492,20,99
500,496,20,90
500,496,20,95
500,496,20,99
500,494,20,90
500,494,20,95
500,494,20,99
500,493,20,90
500,493,20,95
500,493,20,99
500,495,20,90
500,495,20,95
500,495,20,99
500,498,20,90
500,498,20,95
500,498,20,99
500,468,50,90
500,468,50,95
500,468,50,99
500,482,50,90
500,482,50,95
500,482,50,99
500,470,50,90
500,470,50,95
500,470,50,99
500,475,50,90
500,475,50,95
500,475,50,99
500,476,50,90
500,476,50,95
500,476,50,99
500,479,50,90
500,479,50,95
500,479,50,99
500,478,50,90
500,478,50,95
500,478,50,99
500,473,50,90
500,473,50,95
500,473,50,99
500,481,50,90
500,481,50,95
500,481,50,99
500,477,50,90
500,477,50,95
500,477,50,99
500,474,50,90
500,474,50,95
500,474,50,99
500,471,50,90
500,471,50,95
500,471,50,99
500,467,50,90
500,467,50,95
500,467,50,99
500,472,50,90
500,472,50,95
500,472,50,99
500,484,50,90
500,484,50,95
500,484,50,99
500,483,50,90
500,483,50,95
500,483,50,99
500,480,50,90
500,480,50,95
500,480,50,99
500,469,50,90
500,469,50,95
500,469,50,99
500,485,50,90
500,485,50,95
500,485,50,99
500,459,80,90
500,459,80,95
500,459,80,99
500,462,80,90
500,462,80,95
500,462,80,99
500,460,80,90
500,460,80,95
500,460,80,99
500,457,80,90
500,457,80,95
500,457,80,99
500,461,80,90
500,461,80,95
500,461,80,99
500,466,80,90
500,466,80,95
500,466,80,99
500,456,80,90
500,456,80,95
500,456,80,99
500,463,80,90
500,463,80,95
500,463,80,99
500,458,80,90
500,458,80,95
500,458,80,99
500,464,80,90
500,464,80,95
500,464,80,99
500,468,80,90
500,468,80,95
500,468,80,99
500,465,80,90
500,465,80,95
500,465,80,99
500,455,80,90
500,455,80,95
500,455,80,99
500,467,80,90
500,467,80,95
500,467,80,99
500,454,80,90
500,454,80,95
500,454,80,99
500,453,80,90
500,453,80,95
500,453,80,99
500,500,20,90
500,500,20,95
500,500,20,99
500,500,50,90
500,500,50,95
500,500,50,99
500,500,80,90
500,500,80,95
500,500,80,99
